text,label
"consultants, test managers, user acceptance testers, and software developers.",H1
This Foundation Level Extension –   Agile Tester certification may also be appropriate for anyone who,H1
"wants a deeper understanding of software testing in the Agile world, such as project managers, quality",H1
"managers, software development managers, business analysts, IT directors, and management",H1
2.2 Career Paths for Testers,H2
"Building on the Foundation Level, the Agile Tester Extension supports the definition of career paths for",H1
professional testers. A person with the Agile Tester certificate has extended the broad understanding of,H1
testing acquired at the Foundation Level to enable him or her to work effectively as a professional tester in,H1
an Agile project.,H1
People possessing an ISTQB Foundation Level Extension –   Agile Tester certificate may use the Certified,H1
Tester Foundation Level acronym CTFL-AT.,H1
2.3 Learning Objectives,H2
"In general, the Foundation Level syllabus is examinable at a K1 level, i.e., the candidate will recognize,",H1
remember and recall terms and concepts stated in the Foundation Level syllabus.,H1
"In addition, all Foundation Level syllabus learning objectives are examinable at the same K- level in an",H1
extension exam.,H1
Page 7 of 12,H1
"That said, each extension level exam focuses on the learning objectives defined in that extension",H1
"syllabus. The relevant learning objectives at K1, K2, and K3 levels are provided at the beginning of each",H1
chapter within each particular extension syllabus.,H1
2.4 Entry Requirements,H2
"To be able to participate in a Foundation Level Extension –   Agile Tester exam, candidates must have",H1
obtained the ISTQB Foundation Level certificate.,H1
2.5 Structure and Course Duration,H2
The Foundation Level Extension –   Agile Tester syllabus has no shared or common elements with the,H1
Foundation Level syllabus.,H1
The syllabi must be taught in the following minimum number of days:,H1
Baseline: Foundation,H1
Extension: Agile Tester,H1
The following figure shows the structure of the Agile Tester Extension and its relationship to the,H1
Foundation Level.,H1
Page 8 of 12,H1
2.6 Keeping It Current,H2
The software industry changes rapidly. To deal with these changes and to provide the stakeholders with,H1
"access to relevant and current information, the ISTQB working groups have created links on the",H1
"www.istqb.org web site which refer to supporting documents, changes to standards and new occurrences",H1
in the industry. This information is not examinable under this syllabus.,H1
Page 9 of 12,H1
3.  Overview of the Foundation Level Extension –   Agile Tester,H1
3.1 Business Outcomes,H2
This section lists the Business Outcomes expected of a candidate who has achieved the Foundation Level,H1
Extension –   Agile Tester certification.,H1
An Agile Tester can…,H1
Collaborate in a cross-functional Agile team being familiar with principles and basic,H1
practices of Agile software development.,H1
Adapt existing testing experience and knowledge to Agile values and principles.,H1
Support the Agile team in planning test-related activities.,H1
Apply relevant methods and techniques for testing in an Agile project.,H1
Assist the Agile team in test automation activities.,H1
"Assist business stakeholders in defining understandable and testable user stories,",H1
"scenarios, requirements and acceptance criteria as appropriate.",H1
Work and share information with other team members using effective communication,H1
styles and channels.,H1
"In general, a Certified Tester Foundation Level –   Agile Tester is expected to have acquired the necessary",H1
skills to working effectively within an Agile team and environment.,H1
3.2 Content,H2
Chapter 1: Agile Software Development,H1
The tester should remember the basic concept of Agile software development based on the Agile,H1
The tester should understand the advantages of the whole-team approach and the benefits of,H1
early and frequent feedback.,H1
The tester should recall Agile software development approaches.,H1
The tester should be able to write testable user stories in collaboration with developers and,H1
business representatives.,H1
The tester should understand how retrospectives can be used as a mechanism for process,H1
improvement in Agile projects.,H1
The tester should understand the use and purpose of continuous integration.,H1
"The tester should know the differences between iteration and release planning, and how a tester",H1
adds value in each of these activities.,H1
Page 10 of 12,H1
"Chapter 2: Fundamental Agile Testing Principles, Practices, and Processes",H1
The tester should be able to describe the differences between testing activities in Agile projects,H1
and non-Agile projects.,H1
The tester should be able to describe how development and testing activities are integrated in,H1
Agile projects.,H1
The tester should be able to describe the role of independent testing in Agile projects.,H1
The tester should be able to describe the tools and techniques used to communicate the status of,H1
"testing in an Agile project, including test progress and product quality.",H1
The tester should be able to describe the process of evolving tests across multiple iterations and,H1
explain why test automation is important to manage regression risk in Agile projects.,H1
"The tester should understand the skills (people, domain, and testing) of a tester in an Agile team.",H1
The tester should be able to understand the role of a tester within an Agile team.,H1
"Chapter 3: Agile Testing Methods, Techniques, and Tools",H1
"The tester should be able to recall the concepts of test-driven development, acceptance test-",H1
"driven development, and behavior-driven development.",H1
The tester should be able to recall the concepts of the test pyramid.,H1
The tester should be able to summarize the testing quadrants and their relationships with testing,H1
levels and testing types.,H1
"For a given Agile project, the tester should be able to work as a tester in a Scrum team.",H1
The tester should be able to assess quality risks within an Agile project.,H1
The tester should be able to estimate testing effort based on iteration content and quality risks.,H1
The tester should be able to interpret relevant information to support testing activities.,H1
The tester should be able to explain to business stakeholders how to define testable acceptance,H1
"Given a user story, the tester should be able to write acceptance test-driven development test",H1
"For both functional and non-functional behavior, the tester should be able to write test cases using",H1
black box test design techniques based on given user stories.,H1
The tester should be able to perform exploratory testing to support the testing of an Agile project.,H1
The tester should be able to recall different tools available to testers according to their purpose,H1
and to activities in Agile projects.,H1
Page 11 of 12,H1
4.  References,H1
4.1 Trademarks,H2
The following registered trademarks and service marks are used in this document:,H1
ISTQB ®  is a registered trademark of the International Software Testing Qualifications Board,H1
4.2 Documents and Web Sites,H2
Web site of the International Software Testing Qualifications Board. Refer,H1
to this website for the latest ISTQB Glossary and Syllabi. (www.istqb.org),H1
Page 12 of 12,H1
"The Ontario Digital Library will make Ontario a better place to study, work and live by ensuring that",H2
all Ontario citizens have access to the knowledge and learning supports needed to be life-long,H2
learners and effective contributors towards Ontario’s prosperity.,H2
The purpose of this  Request for Proposal  ( RFP ) is to invite firms and/or consultants to,H1
present a proposal for developing the business plan for the  Ontario Digital Library (ODL).,H1
The ODL will deliver high-quality library electronic content to all Ontario residents in order to,H1
"assist people as they learn, work, and enhance their quality of life. The business plan to be",H1
developed is to document and clearly communicate:,H1
"how the ODL will be implemented, including the timeline",H1
the financial plan for the implementation,H1
"the financial plan for the first 2 operating years, including capital and operating costs,",H1
"revenues, etc.",H1
a financial forecast for the succeeding 2 operating years,H1
the services and products to be delivered by the ODL,H1
how the ODL will operate and be managed following the implementation,H1
"who will be involved, and what their role/responsibility will be, for both the",H1
implementation and operational stages,H1
the marketing and communications plan for the ODL,H1
This business plan must be completed and approved by the ODL Steering Committee no,H1
"later than September 30, 2003",H1
Timeline:,H1
Those firms/consultants intended to submit a proposal to this RFP must indicate their,H1
intention to do so in an e-mail to Michael Ridley ( mridley@uoguelph.ca ) by  April 11 th .,H1
"Proposals may be e-mailed, mailed, couriered or faxed to: Larry Moore",H1
"( lmoore@accessola.com ), Executive Director, The Ontario Library Association,  100 Lombard",H1
"St., Suite 303, Toronto, ON  M5C 1M3.  Proposals must be received by  Noon on Monday,",H2
"April 21, 2003.",H1
Those proposals that are short-listed will be invited to discuss their proposal during the week,H1
"of  April 28, 2003 . No presentation will be expected. Firms or consultants invited to an",H1
interview will be expected to discuss the project and their approach with the selection,H1
committee .,H1
"Contracts with the firm/consultant will be signed the week of  May 5, 2003  with the work to",H1
commence as soon as possible thereafter.,H1
Please note that we reserve the right not to select any of the submitted proposals and may,H1
seek further response to these Terms of Reference.,H1
"If you require further information or have any questions, please contact Michael Ridley by e-",H1
mail ( mridley@uoguelph.ca )  only  by  3:00 p.m. on Friday April 18th . All questions and,H1
responses will be shared with those who have indicated that they will be submitting a,H1
"proposal. Please note, that firms/consultants who have not indicated in an e-mail to Michael",H1
Ridley by April 11 th  that they will be submitting a proposal will not receive any further,H1
information or question responses.,H1
"First, some background on the ODL. For the last two years the Ontario Library Association",H1
"has acted as a catalyst, bringing together the stakeholders needed to create the Ontario",H1
"Digital Library (ODL). These stakeholders include Ontario’s 5000+ public libraries, university,",H1
"college, and school libraries, as well as Ontario government ministries.",H1
Libraries that serve very different clientele recognize that by working together they can create,H1
"seamless access to quality electronic library services. Through the ODL, students will be",H1
"able to explore a topic at school, use the same child-safe resources after school (either at",H1
"home or at a public library), enter college or university with a knowledge of how to use",H1
"electronic resources that are still available and then, after graduation, continue to use these",H1
skills and resources at work or at home.,H1
We are moving into a period of convergence. With convergence we no longer have to license,H1
commercial products as individual libraries or institutions. We can work together to spend our,H1
money wisely. The provincial government has made this possible by working hard to provide,H1
"all Ontarians with a stable, high-speed communications infrastructure. While there is still a",H1
"great deal of work needed to improve this infrastructure, libraries are beginning to plan how",H1
best to exploit communications technology. We can reduce barriers to access and create the,H1
content infrastructure needed to support a knowledge society.,H1
"The concept of an ODL is a key element in  The Roadmap to Prosperity , a strategic plan to",H1
envision and attain Ontario’s economic goal prepared by the Ontario Jobs and Investment,H1
Board. The OJIB strategic plan recommends an electronic library to “connect students to new,H1
"workplaces, new sources of information and applied learning opportunities”. The ODL will do",H1
"that and much more. The ODL will connect students to electronic information, and will also",H1
leverage this investment to help connect all citizens to the electronic information they need as,H1
"they make decisions, solve problems and enhance their quality of life.",H1
Libraries have long been a key delivery point for public services. The ODL will allow that,H1
"delivery point to move closer to citizens, into the smallest of libraries and even into living",H1
"Libraries have a long tradition of using a practical, consultative approach to solving problems,",H1
and of learning from others. The ODL is a very practical solution to various problems.,H1
Jurisdiction-wide digital libraries are very practical and very real. The ODL we propose is,H1
leading edge for Ontario but several jurisdictions have forged the path with collaborative,H1
"digital libraries. We can learn from their experiences. For example, The Alberta Library (TAL)",H1
was incorporated in 1997 as a province-wide library consortium. TAL works collaboratively,H1
with its members to promote universal access to materials and resources in more than 250,H1
"public, post-secondary, special, government and regional libraries. Unlike ODL, TAL does",H1
"not include elementary or secondary schools. However, the timeline and funding we are",H1
proposing for ODL is comparable to TAL‘s experience. TAL’s business planning took several,H1
years. TAL’s implementation plan was supported by 8 million dollars in provincially shared,H1
"funding, spread over three years, later revised to 15 million dollars over 4 years. Not only is",H1
"Alberta’s population 30% of Ontario’s, TAL does not include elementary or secondary",H1
schools as partners; it has 250 member libraries. ODL envisions universal access for all,H1
"10,000,000 Ontarians, with more than 5000 Ontario libraries as partners. Although ODL can",H1
"learn from TAL’s practices, the scope of planning and implementing ODL is much larger than",H1
The ODL will be a partnership-based organization providing seamless electronic information,H1
services and resources to the citizens of Ontario. It will use local libraries as the entry point for,H1
common resources The ODL will recognize the unique responsibilities and needs of public,H1
"libraries, school libraries, college and university libraries and special libraries. The ODL",H1
"envisions a digital network of information resources, allowing members to collaborate when",H1
there is mutual benefit and to support the common mandates of local libraries.,H1
The principles which will define and guide the ODL are:,H1
Equitable access for all Ontarians:,H1
"We will bring consistent, high-quality electronic resources and services to 10 million",H1
Ontario citizens,H1
We will eliminate barriers to the access to information and create more consistent,H1
services for library clients.,H1
Shared decision-making and accountability:,H1
We will facilitate consensus among members regarding ODL’s portfolio of electronic,H1
licenses and services,H1
We will balance the interests and realities of small and large as well as rich and poor,H1
communities and institutions.,H1
Shared governance structure:,H1
We will share decision-making in order to enable the people we serve.,H1
We will work based on an underlying assumption of trust and synergy.,H1
Shared funding:,H1
"We will leverage provincial, institutional, and local dollars to realize economies of scale",H1
and put Ontario dollars to work for everyone .,H1
We will be willing to pool talents and dollars in order to provide common services that are,H1
truly greater than those that can be maintained by individual institutions.,H1
Local points of entry:,H1
"We will provide the licenses, infrastructure, services and support that enable local",H1
"libraries to provide exceptional services to their clientele. ODL will focus on support,",H1
"providing the underpinning, not overshadowing.",H1
Services envisioned for the ODL’s include:,H1
Access:,H1
"to the “deep” web (i.e. Commercial, purchased electronic services)",H1
to credible web sites and electronic resources,H1
to digital government information,H1
to local digital collections,H1
Guidance and Advice:,H1
to support e-learning,H1
"to support citizens, in real-time, as they try to use electronic resources",H1
to assist citizens as they use web-links,H1
Training:,H1
for library workers,H1
for the general public,H1
Provincial Purchasing & Licensing:,H1
of electronic content on a consortia basis for all member libraries,H1
Technological Support:,H1
of common standards for the preservation and archiving local digital content,H1
of a common interface to ODL resources and services that can be imbedded in local,H1
library web sites,H1
What could the ODL really mean?,H1
For each Ontario citizen it could mean:,H1
One local point of entry to access seamless electronic library services and,H1
"resources for their personal, educational and professional needs;",H1
"Access to credible, high-quality, user-friendly electronic services through their",H1
"community, school, or academic library;",H1
Confidence that the electronic services and sources they – and their children,H1
"– are using are safe, valid, and bringing them both global and local",H1
Electronic information and tools that enhance job skills and the learning,H1
For each Ontario student it could mean:,H1
"One local point of entry to quality, curriculum- based electronic information",H1
resources and services,H1
"Connection to their individual educational environment, whether at the",H1
"elementary, secondary or post-secondary levels",H1
"Confidence that the services and resources people are using are credible,",H1
available when they need them and adaptable to different learning styles,H1
For each Ontario library it could mean:,H1
One point of entry for themselves and their clientele to quality electronic,H1
"resources and services that support and enhance their collections, programs",H1
and services,H1
"The opportunity to show case their local community, collections, services, and",H1
"The opportunity to gain from the provincial, collaborative partnership in order",H1
to provide a seamless gateway to digital resources and services,H1
For the Ontario government it could mean:,H1
"A  point of entry to information services and resources for all Ontario citizens,",H1
connecting to portal initiatives .,H1
Support of the Ontario E-Learning strategy through a collaborative digital,H1
library initiative that positions Ontario on the global e-learning scene,H1
Improved access and flexibility for all students at all ages and stages,H1
(supports Ontario’s lifelong learning strategy),H1
The opportunity to address emerging job skills shortages and facilitate school,H1
to work and job to job transitions with the necessary information and,H1
knowledge supports and tools,H1
ODL will be an incorporated non-profit organization governed by a Board of Directors elected,H1
by a voting membership. The Board will include representatives from all stakeholders. We,H1
envision a governance model similar to that prepared for the province’s ORION network.,H1
"More information regarding the envisioned phasing, funding and resources required for the",H1
ODL can be found in the appendixes.,H1
The business plan which needs to be developed for the ODL must be a formal business plan,H1
"that documents and clearly communicates the ODL’s services, funding and governance",H1
"structures, as well as implementation plans for 2004-2005, and operational plans for 2005-",H1
"2007. The planning process must also secure the full commitment of all stakeholders, as",H1
represented on the Steering Committee.,H1
"Specifically, the business plan must include:",H1
the commitment of all stakeholders to their responsibilities,H1
The process of developing this business plan must be extremely consultative to ensure that,H1
all stakeholders are engaged in creating a synergistic ODL organization.  The proposal must,H1
indicate how this consultative process will be approached.,H1
"The business plan for the ODL must address significant issues. There are, for example,",H1
enormous differences in the financial resources available to libraries mandated to provide,H1
"similar services. Some post-secondary and public libraries, particularly those in large urban",H1
"areas, have the facilities, funding and technological infrastructure necessary to service their",H1
"patrons with electronic services and resources.  Many others, particularly in rural regions, do",H1
not.  The proposal must indicate how these issues will be approached.,H1
1) A preliminary report will be issued during June 2003.,H1
"2) It is expected that an Interim Report, suitable for distribution to the broader library",H1
"community will be available by August 1, 2003 and that there will be an opportunity",H1
for responses to be evaluated.,H1
3) The business plan must be completed and approved by the ODL Steering Committee,H1
"no later than September 30, 2003.",H1
The firm/consultant  (or proposed team of consultants)  will be expected to work closely with,H1
the ODL Steering Committee. Terms of reference for the Committee are in the appendix.,H1
"Given the consultative nature of this business planning process, the firm/consultant will also",H1
be expected to travel and communicate regularly with various stakeholders as well as with,H1
electronic resource publishers/vendors.,H1
The proposal should include the following information:,H1
a) name of the firm/consultant,H1
"b) names of those individuals who will be engaged in this project, their specific",H1
responsibilities on this project and relevant experience/qualifications,H1
c) description of similar engagements that highlight the firm’s experience in business,H1
planning and building stakeholder commitment,H1
d) references with details of work completed for these references,H1
"e) description of the approach that will be used for completing the business plan,",H1
including a timeline,H1
"f) cost to complete the study including estimated expenses (i.e.: travel, etc.) and payment",H1
The contract will be awarded to the bidder whose submission offers the best value; the contract will,H1
not necessarily be awarded to the lowest bidder. We reserve the right not to award the contract to,H1
any of the bidders responding to this RFP and we may seek further response.,H1
"Specifically, proposals will be evaluated proposals according to the following criteria:",H1
Quality of the proposal /approach outlined for undertaking the business planning process,H1
Demonstrated experience,H1
"Cost, including expenses",H1
Timeline and projected completion date,H1
Other relevant factors as determined by the ODL Steering Committee,H1
Questions regarding this RFP should be directed by e-mail only to Michael Ridley,H1
Bidders are asked not to contact any other member of the ODL Catalyst Team or the ODL Steering,H1
Phase I:  Business Planning,H2
Timeline:  March 2003 – September 2003,H2
"Funding Requested:  ~$100,000 jointly funded by stakeholder groups and the provincial government.",H2
Result:  The ODL business plan,H2
"The first phase will be to build the ODL business plan. This plan will clearly define the ODL’s services,",H2
"funding and governance structures, as well as implementation plans for 2003-2005. It will also secure",H2
the full commitment of all stakeholders and scope the operational plan for ODL for 2006 and beyond.,H2
"Given the number and diversity of stakeholders involved, the business planning process must be a fully",H2
consultative approach. To ensure that the planning results in a workable plan with the full commitment,H2
"of all stakeholders it must have competent, dedicated staffing and monies for the travel and",H2
communication components so critical in a consultative process.,H2
Phase II: Implementing and Transitioning,H2
Timeline:  April 2004 – December 2006,H2
Funding Requested:  Funding from other states and provinces suggest that the ODL could receive,H2
"funding of up to $50 Million (over 3 years). Funding to be provided partnership of government, library",H2
stakeholders and other interested parties.,H2
Result:  The ODL is implemented and validated,H2
The second phase will be to implement the ODL based on the business plan. This phase recognizes,H2
that for ODL to be optimally successful libraries must transition to a new way of doing business and,H2
providing services. The transition must occur while libraries continue to provide existing services and,H2
"respond to current challenges. This implementation phase will funded by a partnership of government,",H2
library stakeholders and other interested parties as a means to quickly jumpstart the ODL.,H2
The seed money requested will allow libraries to realign their budgets and services as the infrastructure,H2
"and content of the ODL is created and secured.  Some of the funding will be new money, although there",H2
is every indication that existing budgets and methods of operating may be modified as a result of,H2
"recommendations . During this phase the polices, procedures, governance structures and accountability",H2
"mechanisms of the ODL will be put in place. Pilot projects will be initiated, evaluated and expanded.",H2
"Information resources will be identified, contracts for these resources will be negotiated and resources",H2
will be made deployed through the ODL. Regular evaluation during this phase will ensure the ODL is,H2
achieving its objectives and is accountable to its key communities.,H2
Phase III: Operating and Growing the ODL,H2
Timeline:  January 2007 -,H2
Funding:  $50 Million annually ($35 Million requested from government),H2
Result:  The ODL is fully operational and sustainable,H2
In the third phase the ODL moves into the operational stage. Ontarians will experience the full benefits,H2
of the initiative and libraries will consolidate support around the ODL to grow resources and extend,H2
capabilities. The challenge is to secure resources sufficient to both sustain the original investments and,H2
to enhance the ODL.,H2
The ongoing funding of the ODL will be based on a partnership model involving all the key participants,H2
"(i.e. government, libraries, donors, public and private sectors). All participants (i.e. beneficiaries) are",H2
expected to make financial contributions to the ODL. It is important in achieving the full impact of the,H2
"ODL on Ontario’s economy, society and learning support that all library sectors are participants",H2
"(university, colleges, public libraries and schools).",H2
"The proposed funding model requires a continuing government investment, but also recognizes that as",H2
the ODL matures a growing share of ODL funding will come from libraries and non-governmental,H2
sources. During the 3-year implementation phase (2004 – 2006) libraries will realign their budgets to,H2
enable ongoing funding contributions to ODL. During the same period ODL must build the proposed,H2
endowment and secure public and private sector gifts and/or in-kind contributions. The following chart,H2
outlines the model. This model is based on these assumptions:,H2
1. that ODL expenditures will increase by 50% over a 10 year period,H1
2. that government funding will decrease from 70% to 45% during that 10 year period,H1
"3. that library contributions, endowment and gifts/in-kind funding will increase from 30% to 55%",H1
during the same period,H2
OVERVIEW OF ODL FUNDING MODEL,H2
$35M (70%),H2
$33.75M (45%),H2
$10M (20%),H2
$22.5M (30%),H2
$4.5M (9%),H2
$15M (20%),H2
$0.5M (1%),H2
$3.75M (5%),H2
TOTAL ANNUAL,H2
"While the private sector will be invited to participate in the ODL through the endowment, gifts and in-",H2
"kind contributions, the ODL will also explore compatible commercial services which leverage the reach",H2
of the ODL and help to offset operating costs.,H2
A $50M budget leverages the consortium buying power of the province’s libraries to secure the best,H2
"prices for information resources, the widest accessibility and the most favourable contracts. A budget of",H2
this nature will ensure a core digital collection of sufficient scope and coverage to address a substantial,H2
amount of the wide and diverse information and learning needs of the citizens of Ontario (an overview,H2
of the nature of the ODL digital collection is appended).  The proposed ODL expenditures in 2006,H2
represent an investment of $5.00 per citizen.,H2
It is important to recognize that every new dollar per citizen invested in the Ontario Digital Library has a,H2
double benefit: it supports a province-wide library of high quality information resources and it,H2
strengthens every local library in Ontario by allowing them to reinvest existing dollars in new resources,H2
that enhance local services.  This multiplier means that for every dollar invested in ODL the return,H2
on investment is worth $2 of value for Ontario.,H2
1. Preamble,H1
Implementation of the Ontario Digital Library (ODL) requires a detailed business plan to be developed,H2
and supported by its diverse stakeholder communities (see:  www.odl.on.ca ).  The business,H2
"development planning and commitment process will be overseen by a Steering Committee, who are",H2
accountable to potential ODL funders including  the Province of Ontario.,H2
2. Terms of Reference,H1
"In broad terms, the ODL Business Plan Steering Committee is responsible for development of the",H2
"business plan, securing sector support, and management of the planners and process.  Specific",H2
responsibilities include:,H2
"2.1 developing a detailed business plan for the three-year implementation phase of the ODL, including",H2
"governance, management, funding model and structure, organizational structure, marketing,",H2
"staffing, and evaluation;",H2
"2.2 consulting with and reporting to stakeholder communities, to ensure open, consistent and two-way",H2
"communication, and to ensure meaningful opportunities for stakeholder input into decision-",H2
2.3 recruiting and managing the business planner(s);,H2
"2.4 defining terms of reference and resource parameters for business planner(s), and authorizing",H2
2.5 serving as a focus group for business planner(s) to test ideas;,H2
2.6 providing signoff for business planner(s) at key decision points of business plan development;,H2
"2.7 securing commitment from library, government, and institutional stakeholders for implementation",H2
of the business plan;,H2
2.8 presenting the business plan to funders,H2
2.9 undertaking advocacy efforts to promote the ODL to the broader communities including library,H2
and education communities.,H2
3. Membership,H1
"Each of the four sectors, Schools, Colleges, Universities, and Public Libraries can appoint up to two",H2
representatives to the steering committee,H2
3.1 Schools:,H2
- Ontario School Library Association (OSLA) and The Association of Library Consultants and,H2
Coordinators of Ontario (TALCO)  ( Executive Council of OSLA to name representative in,H2
consultation with TALCO ),H2
3.2 Universities:,H2
- Ontario Council of University Libraries (OCUL) ( OCUL to name ),H2
3.3 Colleges:,H2
"- Bibliocentre, and Heads of Libraries and Learning Resources (UAG and HLLR  to name )",H2
3.4 Public libraries:,H2
